TotalReward,TotalStep,AvgReward
63.5,37,1.7162162162162162
334.5,156,2.144230769230769
35.5,24,1.4791666666666667
89.0,115,0.7739130434782608
47.5,82,0.5792682926829268
250.0,140,1.7857142857142858
33.5,49,0.6836734693877551
191.0,103,1.854368932038835
102.5,43,2.383720930232558
123.0,111,1.1081081081081081
126.5,69,1.8333333333333333
306.0,153,2.0
100.5,64,1.5703125
248.5,153,1.6241830065359477
268.0,138,1.9420289855072463
249.0,147,1.6938775510204083
142.0,93,1.5268817204301075
188.5,89,2.1179775280898876
86.5,56,1.5446428571428572
290.0,157,1.8471337579617835
88.5,51,1.7352941176470589
104.0,53,1.9622641509433962
110.5,86,1.2848837209302326
235.0,144,1.6319444444444444
165.0,96,1.71875
237.5,124,1.9153225806451613
90.0,45,2.0
156.0,87,1.793103448275862
54.5,28,1.9464285714285714
72.0,36,2.0
195.0,111,1.7567567567567568
338.5,169,2.002958579881657
248.5,128,1.94140625
243.0,140,1.7357142857142858
44.5,53,0.839622641509434
118.5,118,1.0042372881355932
139.5,81,1.7222222222222223
175.0,96,1.8229166666666667
17.0,7,2.4285714285714284
124.5,69,1.8043478260869565
155.5,77,2.0194805194805197
193.0,125,1.544
173.0,94,1.8404255319148937
358.0,174,2.057471264367816
53.5,42,1.2738095238095237
334.5,165,2.0272727272727273
222.5,110,2.022727272727273
256.5,126,2.0357142857142856
104.5,65,1.6076923076923078
260.0,140,1.8571428571428572
158.5,90,1.761111111111111
109.5,129,0.8488372093023255
82.5,120,0.6875
295.0,149,1.9798657718120805
112.5,63,1.7857142857142858
66.5,59,1.1271186440677967
136.5,75,1.82
312.0,165,1.8909090909090909
69.0,30,2.3
216.0,126,1.7142857142857142
157.5,90,1.75
270.0,144,1.875
195.5,112,1.7455357142857142
294.0,154,1.9090909090909092
42.5,31,1.3709677419354838
324.5,172,1.8866279069767442
317.0,139,2.2805755395683454
257.0,145,1.7724137931034483
175.0,128,1.3671875
220.0,125,1.76
80.0,43,1.8604651162790697
101.0,58,1.7413793103448276
145.0,63,2.3015873015873014
241.0,140,1.7214285714285715
58.5,36,1.625
25.5,15,1.7
197.0,124,1.5887096774193548
243.0,153,1.588235294117647
254.5,129,1.9728682170542635
280.5,147,1.9081632653061225
67.0,42,1.5952380952380953
185.5,115,1.6130434782608696
156.5,122,1.2827868852459017
273.5,142,1.926056338028169
56.0,29,1.9310344827586208
86.0,37,2.324324324324324
106.5,105,1.0142857142857142
138.0,112,1.2321428571428572
62.5,31,2.0161290322580645
121.0,116,1.043103448275862
118.5,75,1.58
210.5,131,1.6068702290076335
13.0,8,1.625
58.5,27,2.1666666666666665
295.0,149,1.9798657718120805
368.0,158,2.329113924050633
129.5,86,1.505813953488372
152.0,106,1.4339622641509433
54.0,27,2.0
308.5,167,1.847305389221557
91.5,48,1.90625
95.0,55,1.7272727272727273
273.0,159,1.7169811320754718
109.5,64,1.7109375
52.5,24,2.1875
158.5,101,1.5693069306930694
126.0,70,1.8
247.5,117,2.1153846153846154
138.0,67,2.0597014925373136
